strain	date	country	HA_clade	NA_clade	genotype	county
A/swine/Belgium/Faimes-628/2010	2010-12-14	Belgium	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Belgium/Gent-05/2019	2019-09-01	Belgium	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Belgium/Gent-150/2016	2016-09-01	Belgium	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Belgium/Gent-196/2018	2018-09-01	Belgium	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Belgium/Poperinge-387/2011	2011-08-25	Belgium	1C.2.1	N1.EA	H1avN1#A	out
A/Swine/Belzig/02/2001	2001-XX-XX	Germany	1C.2.1	N1.EA	H1avN1#A	out
A/swine/Borken/21107/2014	2014-12-10	Germany	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Bothenheilingen/13765-3/2011	2011-08-14	Germany	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Denmark/10-25261/2011	2011-XX-XX	Denmark	1C.2.1	N1.EA	H1avN1#B	out
A/swine/Denmark/201410-24-1p1/2014	2014-XX-XX	Denmark	1C.2	N2.Gent	H1avN2#G	out
A/swine/Denmark/201505758-1p1/2015	2015-XX-XX	Denmark	1C.2	N2.Gent	H1avN2#H	out
A/swine/Denmark/201508913-3p1/2015	2015-XX-XX	Denmark	1C.2.4	N2.Gent	H1avN2#E	out
A/swine/Denmark/201616258-1p1/2016	2016-XX-XX	Denmark	1C.2.4	N2.Gent	H1avN2#E	out
A/swine/Denmark/201616851-1p1/2016	2016-XX-XX	Denmark	1C.2	N2.Gent	H1avN2#G	out
A/swine/Denmark/201618041p1/2016	2016-XX-XX	Denmark	1C.2	N2.Gent	H1avN2#G	out
A/swine/Denmark/2016284-1p1/2016	2016-XX-XX	Denmark	1C.2.4	N2.Gent	H1avN2#F	out
A/swine/Denmark/201711806-2_2p1/2017	2017-XX-XX	Denmark	1C.2.4	N2.Gent	H1avN2#E	out
A/swine/Denmark/201712241_1p1/2017	2017-XX-XX	Denmark	1C.2.4	N2.Gent	H1avN2#E	out
A/swine/Denmark/201713525-2_2p1/2017	2017-XX-XX	Denmark	1C.2	N2.Gent	H1avN2#H	out
A/swine/Denmark/201721783_3p1/2017	2017-XX-XX	Denmark	1C.2.4	N2.Gent	H1avN2#E	out
A/swine/Denmark/201813990-1_1p1/2018	2018-XX-XX	Denmark	1C.2	N2.Gent	H1avN2#G	out
A/swine/Denmark/201816865-1_1p1/2018	2018-XX-XX	Denmark	1C.2	N2.Gent	H1avN2#G	out
A/swine/Denmark/201829912_1p1/2018	2018-XX-XX	Denmark	1C.2.4	N2.Gent	H1avN2#F	out
A/swine/Denmark/2018455-1_1p1/2018	2018-XX-XX	Denmark	1C.2	N2.Gent	H1avN2#H	out
A/swine/Dinklage/20995/2014	2014-11-26	Germany	1C.2	N2.Gent	H1avN2#G	out
A/swine/Ellerbrock/18558/2013	2013-09-09	Germany	1C.2.4	N2.Gent	H1avN2#E	out
A/swine/Engelsberg/9321/2009	2009-03-27	Germany	1C.2.2	N1.EA	H1avN1#C	out
A/swine/England/024079/2013	2013-08-21	England	1C.2.2	N1.EA	H1avN1#C	out
A/swine/Finnistere/800/2004	2004-10-01	France	1C.2.1	N1.EA	?	out
A/swine/France/01-130054/2013	2013-01-22	France	1C.2.2	N1.EA	H1avN1#C	out
A/swine/France/01-130145/2013	2013-04-08	France	1C.2.2	N1.EA	H1avN1#C	out
A/swine/France/01-140489/2014	2014-11-24	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/01-160099/2016	2016-02-02	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/01-170070/2017	2017-02-26	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/01-180027/2018	2018-01-17	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/01-180255/2018	2018-05-02	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/01-180274/2018	2018-05-16	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/01-200024/2020	2020-01-17	France	1C.2.1	N1.EA	H1avN1#A	AIN (1)
